ID,Main_Side,Main_Len,Alt_Len,Overlap_Pct,Hardness,Pass_Num
203,Right,839.8,852.7,0.02,59.20,2
204,Left,1241.7,1260.3,0.00,59.13,2
205,Right,835.7,922.2,0.00,59.07,2
206,Right,1004.5,1023.1,0.19,59.06,2
207,Right,1005.8,1122.4,0.00,59.06,2
208,Left,1276.4,1390.6,0.01,59.05,2
209,Right,1612.1,1774.2,0.00,59.05,2
210,Left,868.4,876.6,0.01,59.00,2
211,Left,1485.9,1613.7,0.00,58.99,2
212,Right,997.3,1157.8,0.00,58.98,2
213,Left,1292.9,1428.4,0.00,58.97,2
214,Left,971.9,984.7,0.01,58.95,2
215,Right,1202.8,1233.6,0.10,58.89,2
216,Left,1092.1,1221.4,0.00,58.86,2
217,Left,580.1,823.4,0.01,58.84,2
218,Right,776.7,886.0,0.00,59.74,3
219,Right,1221.6,1361.1,0.00,59.71,3
220,Left,1531.4,1748.9,0.00,59.69,3
221,Left,1345.5,1582.8,0.00,59.68,3
222,Right,2063.5,2224.7,0.02,59.67,3
223,Right,996.6,1136.6,0.00,59.62,3
224,Right,1031.0,1132.5,0.00,59.59,3
225,Right,806.0,907.9,0.00,59.59,3
226,Right,1582.4,1631.8,0.00,59.57,3
227,Left,1314.2,1412.6,0.02,59.55,3
228,Right,1554.6,1743.9,0.00,59.50,3
229,Left,851.7,871.0,0.00,59.48,3
230,Right,1999.3,2258.5,0.00,59.42,3
231,Left,1724.1,1888.5,0.00,59.37,3
232,Left,1853.3,2003.2,0.00,59.33,3
233,Left,1485.2,1591.8,0.03,59.32,3
234,Left,1232.1,1240.1,0.00,59.25,3
235,Right,1448.0,1572.1,0.01,59.22,3
236,Right,1164.9,1231.4,0.00,59.21,3
237,Left,1128.6,1154.5,0.00,59.17,3
238,Left,1623.6,1666.6,0.19,59.17,3
239,Left,1086.7,1087.9,0.00,59.17,3
240,Right,945.0,978.8,0.00,59.16,3
241,Right,1386.3,1489.3,0.08,59.16,3
242,Left,1440.9,1442.4,0.00,59.16,3
243,Right,1085.4,1307.9,0.00,59.14,3
244,Right,1702.9,1753.3,0.00,59.13,3
245,Right,1367.9,1455.1,0.00,59.13,3
246,Left,1756.0,1775.3,0.00,59.11,3
247,Left,1783.3,1816.9,0.00,59.11,3
248,Left,1252.9,1513.1,0.00,59.10,3
249,Left,617.6,676.9,0.00,59.08,3
250,Right,1276.6,1353.2,0.00,59.06,3
251,Left,1419.6,1427.7,0.06,59.02,3
252,Right,1121.8,1481.0,0.08,59.00,3
253,Left,474.8,536.2,0.01,58.98,3
254,Left,1904.0,1930.5,0.03,58.98,3
255,Left,1316.0,1551.4,0.00,58.97,3
256,Right,1387.8,1424.0,0.04,58.92,3
257,Left,1754.9,1799.3,0.00,58.92,3
258,Right,1463.4,1661.5,0.13,58.92,3
259,Left,1470.0,1577.6,0.00,58.92,3
260,Left,1028.3,1050.9,0.00,58.91,3
261,Left,1794.4,1907.2,0.00,58.88,3
262,Left,1383.5,1386.3,0.00,58.88,3
263,Right,1585.3,1597.2,0.11,58.87,3
264,Left,1594.0,1620.4,0.00,58.86,3
265,Left,1356.3,1372.0,0.00,58.86,3
266,Right,985.6,1001.6,0.00,58.85,3
267,Left,1064.4,1070.4,0.00,58.85,3
268,Right,1318.3,1322.2,0.00,58.84,3
269,Left,1775.2,1996.6,0.00,58.83,3
270,Right,979.9,1403.7,0.00,60.70,4
271,Left,1259.5,1432.7,0.12,59.96,4
272,Right,728.2,818.1,0.08,59.93,4
273,Right,1364.3,1624.9,0.01,59.80,4
274,Left,1871.8,2037.2,0.02,59.74,4
275,Right,1707.2,2009.3,0.00,59.67,4
276,Right,1478.2,1651.1,0.00,59.67,4
277,Left,1158.9,1362.7,0.00,59.66,4
