ID,Main_Side,Main_Len,Alt_Len,Overlap_Pct,Hardness,Pass_Num
128,Right,836.9,856.5,0.00,58.99,1
129,Right,1270.3,1393.2,0.00,58.99,1
130,Right,1135.5,1210.5,0.00,58.97,1
131,Right,1089.0,1108.4,0.00,58.95,1
132,Right,1992.8,2031.1,0.00,58.94,1
133,Left,1186.5,1296.4,0.00,58.94,1
134,Right,1078.1,1135.0,0.05,58.94,1
135,Left,787.7,809.9,0.00,58.93,1
136,Left,1483.7,1538.5,0.00,58.92,1
137,Left,1473.9,1560.9,0.20,58.91,1
138,Right,2052.4,2218.4,0.04,58.90,1
139,Right,1142.7,1147.4,0.00,58.90,1
140,Left,1370.5,1403.6,0.00,58.90,1
141,Left,1763.3,1776.6,0.02,58.90,1
142,Right,1211.3,1276.0,0.08,58.89,1
143,Right,1350.2,1405.7,0.00,58.88,1
144,Right,1123.7,1141.3,0.00,58.88,1
145,Left,1469.7,1473.9,0.10,58.88,1
146,Right,1052.9,1095.5,0.00,58.88,1
147,Right,1992.4,2040.9,0.00,59.71,2
148,Left,1461.8,1485.3,0.00,59.61,2
149,Left,1384.5,1442.8,0.00,59.50,2
150,Left,1276.6,1407.3,0.00,59.47,2
151,Right,1225.4,1323.6,0.00,59.45,2
152,Left,1449.8,1515.3,0.05,59.37,2
153,Left,2261.8,2271.9,0.01,59.35,2
154,Right,1468.0,1501.2,0.00,59.32,2
155,Right,1646.4,1680.8,0.06,59.30,2
156,Left,1464.6,1527.4,0.00,59.27,2
157,Right,2048.3,2100.0,0.00,59.27,2
158,Right,610.6,636.0,0.00,59.16,2
159,Left,2020.4,2046.2,0.00,59.12,2
160,Left,1554.0,1583.8,0.00,59.10,2
161,Left,1568.5,1568.4,0.08,59.08,2
162,Right,2306.1,2360.8,0.00,59.08,2
163,Right,1699.8,1708.3,0.00,59.08,2
164,Left,849.4,886.9,0.02,59.07,2
165,Left,1500.2,1513.8,0.00,59.07,2
166,Left,1852.1,2007.3,0.00,59.06,2
167,Left,1698.4,1783.2,0.00,59.05,2
168,Left,1098.1,1170.5,0.00,59.03,2
169,Right,1190.6,1234.6,0.00,59.03,2
170,Right,915.1,929.4,0.00,58.99,2
171,Left,1332.0,1357.3,0.00,58.93,2
172,Right,1626.2,1704.8,0.00,58.92,2
173,Left,767.8,844.8,0.02,58.91,2
174,Right,511.3,535.0,0.00,58.87,2
175,Right,2606.2,2619.7,0.00,61.69,3
176,Left,2441.9,2533.4,0.00,60.81,3
177,Left,2620.9,2692.9,0.00,60.53,3
178,Left,1576.8,1592.4,0.00,60.49,3
179,Right,2530.9,2571.1,0.00,60.46,3
180,Right,2111.7,2228.3,0.00,60.01,3
181,Right,2155.0,2239.2,0.00,59.86,3
182,Right,1634.1,1706.8,0.00,59.82,3
183,Right,1925.1,2001.8,0.00,59.78,3
184,Left,2370.9,2436.8,0.00,59.73,3
185,Right,1643.3,1680.3,0.05,59.52,3
186,Right,1572.1,1627.1,0.00,59.47,3
187,Right,1159.6,1249.0,0.00,59.47,3
188,Right,974.7,1048.8,0.00,59.45,3
189,Left,1928.3,1990.4,0.00,59.40,3
190,Right,1689.2,1728.8,0.01,59.39,3
191,Left,1423.8,1484.3,0.00,59.37,3
192,Right,1623.4,2617.6,0.01,59.28,3
193,Left,2474.8,2550.4,0.00,59.26,3
194,Right,1606.2,1606.2,0.00,59.23,3
195,Left,866.1,975.0,0.06,59.19,3
196,Left,1359.8,1379.5,0.00,59.07,3
197,Right,1869.2,1877.1,0.00,59.04,3
198,Left,1048.9,1106.7,0.00,59.04,3
199,Left,1799.5,1843.5,0.14,59.02,3
200,Right,2001.5,2100.5,0.00,58.99,3
201,Left,1428.5,1489.2,0.00,58.93,3
202,Right,1028.5,1108.5,0.00,58.93,3
203,Left,1979.6,2087.9,0.00,58.93,3
204,Left,1376.7,1387.3,0.00,58.90,3
205,Right,842.1,858.3,0.00,58.87,3
206,Left,2714.3,2742.7,0.00,61.25,4
207,Left,1562.1,1651.9,0.00,60.88,4
208,Left,2537.8,2626.8,0.01,60.40,4
209,Right,2447.9,2510.1,0.01,60.05,4
210,Right,2270.2,2282.1,0.00,60.04,4
211,Left,1412.4,1489.7,0.00,60.01,4
212,Right,2577.7,2734.7,0.00,59.90,4
213,Right,1073.5,1146.9,0.00,59.85,4
214,Right,1467.0,1473.0,0.01,59.66,4
215,Left,2048.9,2105.2,0.00,59.61,4
216,Right,1015.9,1107.2,0.01,59.60,4
217,Right,705.4,730.5,0.00,59.50,4
218,Right,2116.2,2247.3,0.00,59.48,4
219,Right,1386.5,1462.6,0.01,59.48,4
220,Right,1515.7,1533.9,0.00,59.47,4
221,Left,1417.9,1494.0,0.00,59.42,4
222,Right,1773.8,1811.2,0.20,59.37,4
223,Right,1676.2,1738.7,0.00,59.37,4
224,Left,1727.1,1835.3,0.00,59.27,4
225,Right,2074.2,2079.4,0.00,59.23,4
226,Right,662.0,662.8,0.00,59.20,4
227,Left,1122.9,1135.5,0.00,59.19,4
228,Right,2472.6,2553.8,0.03,59.14,4
229,Left,1595.9,1646.0,0.00,59.08,4
230,Left,1396.2,1562.2,0.01,59.05,4
231,Right,747.5,762.5,0.00,59.02,4
232,Right,1906.2,1975.7,0.01,59.00,4
233,Left,1443.2,1489.4,0.01,58.99,4
234,Right,1648.0,1658.9,0.00,58.99,4
235,Left,1255.6,1269.6,0.01,58.98,4
236,Right,1789.3,1852.6,0.03,58.95,4
237,Right,1922.5,1969.3,0.00,58.95,4
238,Right,1446.5,1500.7,0.00,60.63,5
239,Left,2515.9,2573.4,0.00,60.35,5
240,Right,2023.7,2156.1,0.00,60.12,5
