ID,Main_Side,Main_Len,Alt_Len,Overlap_Pct,Hardness,Pass_Num
136,Left,800.1,825.2,0.05,57.53,5
137,Left,469.9,475.5,0.01,57.52,5
138,Left,1179.0,1191.2,0.00,57.35,5
139,Right,692.6,703.7,0.00,57.27,5
140,Left,680.0,720.1,0.00,57.26,5
141,Left,864.6,938.6,0.05,57.26,5
142,Left,872.6,908.4,0.02,57.24,5
143,Left,707.3,760.8,0.00,57.21,5
144,Right,777.4,791.0,0.00,57.21,5
145,Right,690.7,702.3,0.12,57.10,5
146,Left,574.1,578.6,0.01,57.07,5
147,Left,1138.4,1162.2,0.00,57.06,5
148,Right,1258.3,1313.5,0.00,59.45,6
149,Right,1336.3,1365.8,0.00,59.44,6
150,Left,1440.7,1454.6,0.00,59.02,6
151,Right,1000.5,1060.1,0.00,58.90,6
152,Right,1252.7,1382.2,0.09,58.55,6
153,Right,1201.9,1248.6,0.00,58.48,6
154,Right,773.1,778.2,0.00,58.38,6
155,Left,1056.3,1119.0,0.00,58.30,6
156,Right,1615.7,1714.6,0.00,58.29,6
157,Right,887.5,916.4,0.00,58.28,6
158,Right,1088.1,1165.8,0.04,58.27,6
159,Left,954.8,1064.0,0.10,58.20,6
160,Left,1252.6,1270.5,0.00,58.19,6
161,Left,1058.6,1083.2,0.00,57.87,6
162,Left,552.4,598.3,0.00,57.85,6
163,Left,936.2,986.8,0.00,57.79,6
164,Right,648.9,720.1,0.00,57.70,6
165,Left,945.4,1045.6,0.00,57.61,6
166,Right,1183.1,1187.8,0.07,57.59,6
167,Right,629.4,639.3,0.00,57.56,6
168,Left,578.7,595.7,0.00,57.53,6
169,Right,437.3,452.1,0.01,57.51,6
170,Left,895.0,961.2,0.00,57.48,6
171,Left,1192.6,1307.5,0.00,57.38,6
172,Left,682.9,717.7,0.00,57.32,6
173,Left,998.8,1126.7,0.04,57.30,6
174,Right,1097.9,1244.5,0.03,57.23,6
175,Left,606.9,642.7,0.03,57.20,6
176,Left,1048.4,1065.1,0.17,57.06,6
177,Left,565.0,592.6,0.01,56.94,6
178,Left,1470.2,1495.3,0.08,59.86,7
179,Left,1253.5,1275.2,0.00,59.82,7
180,Left,786.8,845.7,0.00,59.40,7
181,Left,853.2,895.4,0.00,59.40,7
182,Left,813.2,826.5,0.04,59.35,7
183,Right,1372.0,1412.7,0.01,59.26,7
184,Right,1094.8,1117.0,0.14,59.22,7
185,Right,988.8,995.7,0.01,59.16,7
186,Left,965.0,967.7,0.00,59.13,7
187,Left,612.7,623.7,0.00,58.95,7
188,Left,1356.9,1422.1,0.07,58.90,7
189,Right,1053.6,1065.7,0.00,58.89,7
190,Left,925.6,938.1,0.10,58.76,7
191,Left,634.8,654.2,0.00,58.64,7
192,Left,811.6,887.9,0.06,58.51,7
193,Right,747.4,766.0,0.00,58.45,7
194,Left,966.6,977.8,0.00,58.43,7
195,Right,1086.2,1146.1,0.00,58.43,7
196,Right,882.8,932.6,0.00,58.30,7
197,Left,1143.5,1161.7,0.00,58.27,7
198,Left,464.3,482.8,0.01,58.26,7
199,Right,1658.2,1705.0,0.01,58.25,7
200,Right,1921.7,1951.8,0.01,58.24,7
201,Right,1556.7,1590.4,0.00,58.18,7
202,Right,688.7,694.5,0.05,58.16,7
203,Left,829.0,856.7,0.00,58.12,7
204,Right,1269.9,1340.1,0.14,58.03,7
205,Left,801.7,828.0,0.01,57.91,7
206,Right,1095.5,1164.5,0.04,57.86,7
207,Left,1019.9,1112.0,0.00,57.84,7
208,Left,1076.1,1122.5,0.07,57.82,7
209,Left,871.8,928.8,0.01,57.74,7
210,Left,612.8,696.7,0.00,57.69,7
211,Right,628.2,694.9,0.00,57.67,7
212,Right,1111.6,1125.8,0.08,57.57,7
213,Right,1129.4,1132.1,0.02,57.56,7
214,Left,868.5,922.8,0.00,57.49,7
215,Right,1156.2,1225.7,0.02,57.48,7
216,Right,1007.2,1091.4,0.01,57.39,7
217,Left,910.0,942.5,0.00,57.39,7
218,Right,1186.3,1256.5,0.10,57.31,7
219,Right,594.0,616.4,0.00,57.25,7
220,Right,1392.2,1500.5,0.10,57.08,7
221,Right,705.6,750.3,0.09,57.05,7
222,Left,867.0,929.8,0.08,56.98,7
223,Left,884.9,896.5,0.01,59.46,8
224,Left,1153.9,1211.9,0.13,59.34,8
225,Right,1250.9,1359.1,0.00,59.33,8
226,Right,1118.6,1139.8,0.00,59.29,8
227,Right,886.7,891.9,0.11,59.07,8
228,Right,866.9,939.8,0.00,58.94,8
229,Left,900.4,994.2,0.00,58.84,8
230,Left,794.2,839.6,0.00,58.83,8
231,Left,748.1,764.5,0.00,58.65,8
232,Left,923.8,954.6,0.00,58.58,8
233,Left,1228.2,1289.2,0.02,58.48,8
234,Left,1614.1,1629.3,0.16,58.33,8
235,Left,892.6,914.1,0.00,58.15,8
236,Left,1538.9,1558.9,0.00,58.06,8
237,Right,1365.0,1423.3,0.00,58.06,8
238,Right,872.8,881.5,0.00,58.02,8
239,Right,1287.9,1307.2,0.18,57.97,8
240,Left,601.4,602.6,0.00,57.94,8
241,Right,834.6,915.4,0.06,57.79,8
242,Left,843.2,912.8,0.00,57.79,8
243,Left,1025.4,1059.9,0.02,57.70,8
244,Right,713.8,760.3,0.00,57.68,8
245,Left,757.2,775.0,0.00,57.68,8
246,Left,664.0,729.7,0.00,57.58,8
247,Left,1200.3,1226.5,0.00,57.44,8
248,Left,993.0,1067.4,0.02,57.32,8
249,Right,1206.5,1243.8,0.05,57.32,8
