ID,Main_Side,Main_Len,Alt_Len,Overlap_Pct,Hardness,Pass_Num
352,Left,1929.3,2000.0,0.00,58.80,5
353,Left,2354.7,2374.9,0.00,58.45,5
354,Right,2416.0,2441.7,0.00,58.17,5
355,Right,1592.2,1596.8,0.00,58.13,5
356,Right,2184.7,2272.2,0.05,58.07,5
357,Left,2017.9,2234.7,0.00,57.65,5
358,Left,1887.4,1990.8,0.00,57.57,5
359,Right,1929.7,1971.7,0.06,57.38,5
360,Left,2393.7,2403.3,0.00,57.17,5
361,Left,1176.6,1237.8,0.01,57.16,5
362,Right,1931.1,2066.2,0.02,57.11,5
363,Right,1585.1,1615.2,0.00,57.10,5
364,Right,2849.7,3279.9,0.02,57.07,5
365,Right,1497.7,1627.4,0.01,56.99,5
366,Right,1694.6,1788.3,0.00,56.98,5
367,Right,2377.4,2498.5,0.06,56.85,5
368,Right,2128.2,2213.2,0.01,56.84,5
369,Left,1995.3,2106.0,0.03,56.75,5
370,Right,1774.3,1963.6,0.07,56.74,5
371,Right,1389.1,1502.2,0.00,56.69,5
372,Left,2519.6,2600.3,0.10,56.68,5
373,Left,2100.0,2238.2,0.00,56.56,5
374,Right,2308.9,2458.6,0.11,56.50,5
375,Left,2348.9,2379.5,0.04,56.49,5
376,Right,2117.1,2223.6,0.07,56.30,5
377,Right,955.5,1049.0,0.00,56.24,5
378,Left,1876.1,1995.3,0.00,56.23,5
379,Left,2088.8,2196.8,0.00,56.19,5
380,Right,1869.4,2376.9,0.05,56.19,5
381,Right,1497.2,1717.2,0.05,56.09,5
382,Right,927.6,1030.0,0.07,56.03,5
383,Right,1453.1,1573.7,0.00,55.95,5
384,Right,1744.0,1871.7,0.02,55.92,5
385,Left,1800.7,2058.3,0.00,55.79,5
386,Right,2470.0,2639.4,0.02,55.71,5
387,Left,2269.6,2411.1,0.00,55.66,5
388,Right,2184.4,2255.2,0.09,55.62,5
389,Right,2577.9,2676.9,0.03,55.62,5
390,Left,2154.2,2205.6,0.00,55.60,5
391,Right,1022.8,1044.3,0.03,55.36,5
392,Right,2037.8,2257.4,0.05,55.35,5
393,Left,1832.8,1945.4,0.19,55.33,5
394,Right,2259.6,2397.2,0.00,55.27,5
395,Right,2643.0,2855.9,0.02,55.25,5
396,Left,1280.9,1337.5,0.01,55.23,5
397,Right,1881.3,2007.3,0.04,55.22,5
398,Right,2277.0,2477.1,0.02,55.22,5
399,Right,1854.2,2012.7,0.00,55.20,5
400,Right,2280.5,2845.9,0.04,55.17,5
401,Right,2278.9,2438.1,0.00,55.17,5
402,Right,1675.6,2128.0,0.10,55.12,5
403,Right,2532.1,2699.2,0.06,55.09,5
404,Right,1860.8,1975.4,0.00,55.08,5
405,Right,1572.7,1633.9,0.01,55.04,5
406,Right,1453.6,1661.4,0.00,55.01,5
407,Left,1836.3,2039.5,0.01,54.90,5
408,Right,3086.4,3378.4,0.01,60.02,6
409,Right,1881.3,1995.6,0.00,58.32,6
410,Right,2071.4,2072.3,0.03,58.18,6
411,Left,2147.4,2246.5,0.00,57.86,6
412,Right,3184.6,3549.1,0.03,57.81,6
413,Left,1711.3,1848.2,0.00,57.73,6
414,Right,2609.2,2631.2,0.00,57.38,6
415,Right,1635.9,1726.1,0.00,57.30,6
416,Left,2811.6,2844.5,0.02,57.06,6
417,Right,2952.7,3358.8,0.05,57.05,6
418,Left,1283.9,1460.3,0.00,57.00,6
419,Right,2098.5,2237.4,0.07,56.96,6
420,Right,1729.8,1842.6,0.03,56.85,6
421,Right,1651.9,1775.9,0.00,56.78,6
422,Left,2417.0,2549.6,0.04,56.76,6
423,Right,1315.8,1380.3,0.01,56.63,6
424,Right,2372.3,2418.0,0.06,56.62,6
425,Right,1211.8,1297.3,0.01,56.48,6
426,Right,1820.9,1887.8,0.05,56.46,6
427,Left,2032.2,2222.2,0.00,56.38,6
428,Right,2288.8,2375.7,0.00,56.37,6
429,Left,3028.3,3083.3,0.01,56.18,6
430,Left,1903.4,1906.6,0.01,56.17,6
431,Left,1935.2,2178.4,0.00,56.10,6
432,Right,2209.6,2247.7,0.00,56.10,6
433,Left,1545.0,1684.5,0.01,56.09,6
434,Left,3103.0,3270.2,0.02,56.04,6
435,Left,1499.3,1598.3,0.00,55.98,6
436,Right,1710.3,1877.7,0.00,55.92,6
437,Right,1495.7,1657.1,0.00,55.89,6
438,Left,1966.4,2166.0,0.01,55.82,6
439,Left,2365.9,2494.7,0.00,55.64,6
440,Left,2279.6,2427.0,0.02,55.60,6
441,Right,2473.1,2518.8,0.07,55.54,6
442,Right,2442.0,2545.3,0.10,55.50,6
443,Left,1919.0,2193.1,0.09,55.35,6
444,Left,1512.3,1677.7,0.00,55.34,6
445,Right,1723.4,1788.9,0.12,55.32,6
446,Left,1296.7,1369.2,0.02,55.26,6
447,Left,2580.6,2802.8,0.05,55.19,6
448,Right,2079.6,2149.0,0.02,55.18,6
449,Left,878.3,892.8,0.04,55.16,6
450,Left,1718.5,1871.4,0.05,55.12,6
451,Left,1485.6,1548.6,0.10,55.04,6
452,Right,1915.9,2018.5,0.00,55.04,6
453,Left,1981.9,2155.6,0.01,55.03,6
454,Right,1656.9,1728.2,0.08,55.02,6
455,Left,2206.8,2362.0,0.19,55.01,6
456,Left,2193.7,2234.1,0.06,54.98,6
457,Right,1369.7,1480.8,0.04,54.92,6
458,Right,2949.9,3074.3,0.00,60.44,7
459,Right,850.2,911.8,0.00,59.33,7
460,Right,1325.2,1350.2,0.00,58.76,7
461,Left,1976.1,2043.5,0.00,58.66,7
462,Right,3007.8,3391.1,0.00,58.58,7
463,Left,1864.7,1928.5,0.03,58.48,7
464,Right,1850.3,2002.9,0.03,58.38,7
465,Right,2022.9,2217.8,0.05,57.98,7
466,Left,1564.0,1653.5,0.00,57.94,7
467,Left,2331.5,2408.4,0.00,57.79,7
468,Left,1732.9,1752.7,0.00,57.77,7
469,Left,2204.9,2258.9,0.00,57.52,7
470,Left,2345.5,2428.9,0.00,57.46,7
471,Left,1908.5,1938.3,0.00,57.23,7
472,Left,1987.6,2021.0,0.00,57.02,7
473,Right,1913.0,2110.4,0.00,57.01,7
474,Right,1525.3,1566.0,0.03,56.82,7
475,Left,1864.9,1921.9,0.05,56.79,7
476,Right,2323.9,2354.3,0.04,56.54,7
477,Left,1441.0,1592.1,0.00,56.40,7
478,Left,2114.0,2216.0,0.00,56.33,7
479,Right,1497.5,1570.6,0.00,56.29,7
480,Right,1188.1,1367.1,0.00,56.28,7
481,Left,2251.3,2321.8,0.03,56.09,7
482,Right,1817.7,1911.4,0.10,55.83,7
483,Right,1017.2,1042.4,0.00,55.76,7
484,Right,2135.5,2238.5,0.10,55.74,7
485,Right,2416.5,2540.6,0.06,55.66,7
486,Right,2047.8,2178.8,0.00,55.64,7
487,Right,1728.3,1803.8,0.02,55.59,7
488,Left,1651.1,1729.8,0.04,55.33,7
489,Right,1129.8,1208.1,0.02,55.33,7
490,Left,2349.3,2523.2,0.04,55.28,7
491,Left,1592.5,1673.6,0.05,55.21,7
492,Left,2131.4,2156.6,0.06,55.21,7
493,Right,1465.4,1472.8,0.13,55.19,7
494,Left,2299.3,2332.8,0.08,55.14,7
495,Left,1936.4,1989.2,0.00,55.09,7
496,Right,1785.4,1993.9,0.09,55.02,7
497,Left,1862.7,1936.4,0.00,59.63,8
498,Right,2189.7,2198.0,0.02,58.77,8
499,Left,2246.1,2385.4,0.02,58.51,8
500,Right,2110.8,2110.0,0.05,58.36,8
